,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,78.28,85,0,8.05,us,1655105692
1,icatu,-2.7758,-44.0658,79.23,93,0,3.47,br,1655105693
2,port alfred,-33.5906,26.891,72.18,42,100,4.0,za,1655105450
3,albany,42.6001,-73.9662,65.39,93,100,2.53,au,1655105615
4,tabou,4.423,-7.3528,78.84,72,88,7.25,ci,1655105697
5,clyde river,70.4692,-68.5914,30.43,86,100,5.75,ca,1655105698
6,port hardy,50.6996,-127.4199,50.0,87,40,3.44,ca,1655105699
7,new norfolk,-42.7826,147.0587,46.71,82,23,1.01,au,1655105700
8,adrar,20.5022,-10.0711,90.61,28,15,7.47,dz,1655105702
9,geraldton,-28.7667,114.6,66.61,59,100,11.5,au,1655105478
10,hermanus,-34.4187,19.2345,61.81,83,100,12.19,za,1655105704
11,jiazi,22.8779,116.067,83.52,81,100,15.35,cn,1655105705
12,carnarvon,-24.8667,113.6333,71.01,50,0,13.31,au,1655105584
13,dicabisagan,17.0818,122.4157,88.63,66,94,12.44,ph,1655105707
14,palmer,42.1584,-72.3287,66.24,87,100,0.0,us,1655105709
15,albany,42.6001,-73.9662,65.39,93,100,2.53,au,1655105615
16,sechura,-5.5569,-80.8222,63.3,82,78,8.48,pe,1655105711
17,vaini,-21.2,-175.2,77.16,94,75,4.61,to,1655105712
18,albany,42.6001,-73.9662,65.39,93,100,2.53,au,1655105615
19,merauke,-8.4667,140.3333,79.86,85,97,17.09,id,1655105714
20,torbay,47.6666,-52.7314,42.89,90,40,6.91,ca,1655105715
21,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
22,cabo san lucas,22.8909,-109.9124,83.61,71,8,10.96,mx,1655105494
23,hilo,19.7297,-155.09,78.28,85,0,8.05,us,1655105692
24,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
25,ushuaia,-54.8,-68.3,35.26,100,40,2.3,ar,1655105714
26,kapaa,22.0752,-159.319,78.78,86,75,17.27,us,1655105722
27,punta arenas,-53.15,-70.9167,42.91,93,75,2.3,cl,1655105700
28,waingapu,-9.6567,120.2641,82.44,65,29,14.67,id,1655105724
29,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
30,camana,-16.6228,-72.7111,59.67,86,63,5.19,pe,1655105726
31,dikson,73.5069,80.5464,30.22,90,100,17.0,ru,1655105728
32,sao joao da barra,-21.6403,-41.0511,65.48,64,100,19.17,br,1655105729
33,ouallam,14.3188,2.0866,92.39,38,62,14.09,ne,1655105731
34,ushuaia,-54.8,-68.3,35.26,100,40,2.3,ar,1655105714
35,busselton,-33.65,115.3333,61.52,71,90,14.18,au,1655105733
36,auki,-8.7676,160.7034,77.74,87,74,4.74,sb,1655105734
37,ponta do sol,32.6667,-17.1,69.01,75,46,1.48,cv,1655105736
38,busselton,-33.65,115.3333,61.52,71,90,14.18,au,1655105733
39,ugoofaaru,5.6667,73.0,83.08,77,100,9.62,mv,1655105738
40,saint george,37.1041,-113.5841,90.19,9,0,14.97,bm,1655105739
41,hithadhoo,-0.6,73.0833,84.06,71,27,7.67,mv,1655105740
42,george,-33.963,22.4617,60.35,51,0,2.3,za,1655105742
43,ust-tsilma,65.441,52.1498,67.96,26,94,1.7,ru,1655105743
44,baykit,61.67,96.37,63.64,81,100,8.01,ru,1655105744
45,bluff,-46.6,168.3333,46.8,63,80,27.36,nz,1655105746
46,vardo,70.3705,31.1107,46.38,71,75,16.11,no,1655105747
47,vredendal,-31.6683,18.5012,62.19,51,100,4.63,za,1655105748
48,japura,-0.3167,102.35,81.25,91,91,0.56,br,1655105750
49,kodiak,57.79,-152.4072,56.71,62,0,5.75,us,1655105752
50,sao filipe,14.8961,-24.4956,72.79,81,21,6.17,cv,1655105754
51,port alfred,-33.5906,26.891,72.18,42,100,4.0,za,1655105450
52,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
53,barrow,71.2906,-156.7887,26.62,93,100,6.91,us,1655105757
54,ostrovnoy,68.0531,39.5131,52.54,84,100,4.79,ru,1655105759
55,saskylakh,71.9167,114.0833,70.88,24,0,8.77,ru,1655105761
56,carnarvon,-24.8667,113.6333,71.01,50,0,13.31,au,1655105584
57,katsuura,35.1333,140.3,66.72,69,100,13.56,jp,1655105763
58,te anau,-45.4167,167.7167,34.39,91,91,2.59,nz,1655105764
59,salalah,17.0151,54.0924,91.49,66,75,14.97,om,1655105766
60,vaini,-21.2,-175.2,77.16,94,75,4.61,to,1655105712
61,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
62,thinadhoo,0.5333,72.9333,84.11,71,59,6.89,mv,1655105769
63,broome,42.2506,-75.833,63.36,90,0,3.44,au,1655105770
64,guerrero negro,27.9769,-114.0611,62.87,92,54,13.22,mx,1655105771
65,tuktoyaktuk,69.4541,-133.0374,32.47,89,100,6.91,ca,1655105772
66,burgeo,47.6167,-57.6152,50.99,89,78,7.61,ca,1655105774
67,bluff,-46.6,168.3333,46.8,63,80,27.36,nz,1655105746
68,nikolskoye,59.7035,30.7861,68.88,45,32,6.96,ru,1655105776
69,rikitea,-23.1203,-134.9692,73.09,66,62,12.33,pf,1655105777
70,butaritari,3.0707,172.7902,82.04,69,6,12.8,ki,1655105778
71,batagay-alyta,67.8006,130.4114,60.31,51,100,6.89,ru,1655105781
72,hithadhoo,-0.6,73.0833,84.06,71,27,7.67,mv,1655105740
73,faanui,-16.4833,-151.75,80.2,67,95,20.29,pf,1655105783
74,qaanaaq,77.484,-69.3632,22.95,69,0,4.63,gl,1655105784
75,hobart,-42.8794,147.3294,47.05,77,20,5.75,au,1655105785
76,menongue,-14.6585,17.691,66.97,39,20,7.56,ao,1655105786
77,daru,-9.0763,143.2092,78.49,91,23,16.8,pg,1655105789
78,bluff,-46.6,168.3333,46.8,63,80,27.36,nz,1655105746
79,port elizabeth,-33.918,25.5701,65.32,68,0,3.44,za,1655105791
80,huarmey,-10.0681,-78.1522,61.97,86,51,6.44,pe,1655105792
81,gidole,5.65,37.3667,66.51,54,37,5.53,et,1655105794
82,ushuaia,-54.8,-68.3,35.26,100,40,2.3,ar,1655105714
83,borborema,-21.6197,-49.0736,49.77,61,100,5.19,br,1655105797
84,naryan-mar,67.6713,53.087,62.82,33,85,10.18,ru,1655105798
85,bethel,41.3712,-73.414,66.9,96,20,1.01,us,1655105799
86,kapaa,22.0752,-159.319,78.78,86,75,17.27,us,1655105722
87,brownwood,31.7093,-98.9912,87.12,57,0,10.36,us,1655105802
88,saskylakh,71.9167,114.0833,70.88,24,0,8.77,ru,1655105761
89,atuona,-9.8,-139.0333,77.9,64,76,20.78,pf,1655105804
90,monywa,22.1167,95.1333,101.43,32,96,8.03,mm,1655105807
91,georgetown,5.4112,100.3354,91.33,70,20,10.36,sh,1655105534
92,rochester,43.1548,-77.6156,62.24,92,100,3.44,us,1655105148
93,nacala,-14.5428,40.6728,74.52,61,40,13.8,mz,1655105810
94,maniitsoq,65.4167,-52.9,34.21,76,62,16.08,gl,1655105811
95,atambua,-9.1061,124.8925,79.65,61,16,2.42,id,1655105812
96,the pas,53.8251,-101.2541,57.22,94,100,8.05,ca,1655105813
97,upernavik,72.7868,-56.1549,28.53,96,100,5.48,gl,1655105815
98,vaini,-21.2,-175.2,77.16,94,75,4.61,to,1655105712
99,itoman,26.1247,127.6694,86.38,92,75,20.71,jp,1655105817
100,bani,18.2833,-70.3333,79.86,82,99,7.65,do,1655105818
101,mar del plata,-38.0023,-57.5575,46.09,74,0,4.61,ar,1655105612
102,mataura,-46.1927,168.8643,46.47,88,78,10.63,pf,1655105717
103,iqaluit,63.7506,-68.5145,35.33,87,75,10.36,ca,1655105822
104,rikitea,-23.1203,-134.9692,73.09,66,62,12.33,pf,1655105777
105,vaini,-21.2,-175.2,77.16,94,75,4.61,to,1655105712
106,vohibinany,-17.35,49.0333,75.43,62,39,5.86,mg,1655105825
107,sarahan,31.5167,77.8,80.13,28,72,9.15,in,1655105826
108,ushuaia,-54.8,-68.3,35.26,100,40,2.3,ar,1655105714
109,husavik,66.0449,-17.3389,48.09,81,100,3.74,is,1655105828
110,hobart,-42.8794,147.3294,47.05,77,20,5.75,au,1655105785
111,mahebourg,-20.4081,57.7,76.24,69,75,18.41,mu,1655105831
112,fairbanks,64.8378,-147.7164,60.76,62,0,3.44,us,1655105832
113,presidencia roque saenz pena,-26.7852,-60.4388,41.31,69,0,5.59,ar,1655105833
114,cape town,-33.9258,18.4232,58.26,94,75,12.66,za,1655105612
115,emba,48.8264,58.1442,68.31,34,0,13.6,kz,1655105836
116,lavrentiya,65.5833,-171.0,39.52,70,100,8.01,ru,1655105838
117,harlingen,26.1906,-97.6961,82.31,93,100,16.11,nl,1655105839
118,kahului,20.8947,-156.47,76.84,87,40,13.8,us,1655105840
119,albany,42.6001,-73.9662,65.39,93,100,2.53,au,1655105615
120,talnakh,69.4865,88.3972,72.25,37,23,1.83,ru,1655105842
121,kudahuvadhoo,2.6708,72.8944,83.64,71,93,8.25,mv,1655105843
122,barrow,71.2906,-156.7887,26.62,93,100,6.91,us,1655105757
123,severo-kurilsk,50.6789,156.125,43.66,89,67,10.29,ru,1655105846
124,cidreira,-30.1811,-50.2056,51.1,76,100,14.09,br,1655105847
125,punta arenas,-53.15,-70.9167,42.91,93,75,2.3,cl,1655105700
126,hofn,64.2539,-15.2082,48.2,90,100,7.18,is,1655105849
127,jamestown,42.097,-79.2353,60.39,66,3,1.54,sh,1655105602
128,poum,-20.2333,164.0167,75.79,84,100,16.67,nc,1655105852
129,qui nhon,13.7667,109.2333,86.72,71,100,14.18,vn,1655105711
130,hobart,-42.8794,147.3294,47.05,77,20,5.75,au,1655105785
131,chicama,-7.8447,-79.1469,57.74,89,68,3.85,pe,1655105856
132,launceston,-41.45,147.1667,44.24,70,8,6.91,au,1655105857
133,georgetown,5.4112,100.3354,91.33,70,20,10.36,sh,1655105534
134,new norfolk,-42.7826,147.0587,46.71,82,23,1.01,au,1655105700
135,longyearbyen,78.2186,15.6401,39.04,87,75,4.61,sj,1655105860
