,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arroyo,41.6096,-4.7969,96.15,23,20,4.61,us,1655298017
1,severo-kurilsk,50.6789,156.125,47.64,89,96,7.96,ru,1655298255
2,busselton,-33.65,115.3333,62.01,80,87,11.83,au,1655298048
3,punta arenas,-53.15,-70.9167,42.91,70,40,18.41,cl,1655298257
4,batticaloa,7.7102,81.6924,82.6,77,100,8.14,lk,1655298258
5,barrow,71.2906,-156.7887,33.82,93,100,9.22,us,1655298259
6,cape town,-33.9258,18.4232,62.38,67,26,7.0,za,1655298107
7,kaeo,-35.1,173.7833,50.32,95,8,4.59,nz,1655298261
8,bluff,-46.6,168.3333,44.8,81,100,21.65,nz,1655298262
9,arraial do cabo,-22.9661,-42.0278,73.26,46,20,6.91,br,1655298264
10,qaanaaq,77.484,-69.3632,29.12,62,27,1.99,gl,1655298265
11,puerto ayora,-0.7393,-90.3518,71.55,93,84,5.99,ec,1655298266
12,shar,49.5886,81.0453,70.16,50,100,6.85,kz,1655298267
13,faanui,-16.4833,-151.75,80.29,70,6,20.58,pf,1655298269
14,rafaela,-31.2503,-61.4867,53.01,92,100,4.61,ar,1655298270
15,plaster rock,46.9065,-67.39,62.96,60,0,3.85,ca,1655298271
16,ponta do sol,32.6667,-17.1,76.01,67,21,13.24,cv,1655298273
17,geraldton,-28.7667,114.6,61.21,88,40,5.75,au,1655298274
18,bredasdorp,-34.5322,20.0403,57.18,51,13,8.16,za,1655298275
19,sainte-rose,16.3324,-61.6979,84.24,74,75,9.22,re,1655298276
20,presidente medici,-11.1753,-61.9014,76.62,69,8,1.3,br,1655298257
21,mungaa,-4.9667,34.8833,78.1,32,100,7.99,tz,1655298279
22,pascagoula,30.3658,-88.5561,83.12,86,0,4.61,us,1655298281
23,barrow,71.2906,-156.7887,33.82,93,100,9.22,us,1655298259
24,sibolga,1.7427,98.7792,77.07,86,100,1.77,id,1655298283
25,tuktoyaktuk,69.4541,-133.0374,35.49,76,10,8.32,ca,1655298284
26,flin flon,54.7682,-101.865,51.28,94,100,8.3,ca,1655298285
27,bredasdorp,-34.5322,20.0403,57.18,51,13,8.16,za,1655298275
28,kangaatsiaq,68.3065,-53.4641,33.94,74,17,1.95,gl,1655298287
29,kodiak,57.79,-152.4072,49.51,93,100,11.5,us,1655298289
30,cape town,-33.9258,18.4232,62.38,67,26,7.0,za,1655298107
31,mundwa,27.0667,73.8167,100.17,31,21,17.4,in,1655298291
32,bengkulu,-3.8004,102.2655,77.81,84,100,2.44,id,1655298292
33,kapaa,22.0752,-159.319,78.78,96,75,12.66,us,1655298293
34,lalibela,12.0333,39.0333,82.94,13,99,11.3,et,1655298294
35,charters towers,-20.1,146.2667,61.72,92,0,7.31,au,1655298296
36,santa isabel,-23.3156,-46.2214,58.3,69,11,3.24,us,1655298297
37,ongandjera,-17.8833,15.0667,79.21,15,0,7.23,na,1655298298
38,gunjur,13.2019,-16.7339,80.69,76,95,11.56,gm,1655298299
39,kentau,43.5206,68.5094,92.46,17,79,9.82,kz,1655298301
40,punta arenas,-53.15,-70.9167,42.91,70,40,18.41,cl,1655298257
41,avarua,-21.2078,-159.775,75.25,83,52,9.22,ck,1655298303
42,sao felix do xingu,-6.6447,-51.995,81.25,66,54,4.18,br,1655298064
43,tuktoyaktuk,69.4541,-133.0374,35.49,76,10,8.32,ca,1655298284
44,port alfred,-33.5906,26.891,53.19,67,99,11.01,za,1655298306
45,byron bay,-28.65,153.6167,56.95,84,0,5.91,au,1655298308
46,rikitea,-23.1203,-134.9692,72.55,70,72,5.79,pf,1655298309
47,bethel,41.3712,-73.414,75.15,66,0,10.36,us,1655298283
48,cherskiy,68.75,161.3,52.43,44,0,6.91,ru,1655298312
49,new norfolk,-42.7826,147.0587,46.92,88,100,1.9,au,1655298313
50,rikitea,-23.1203,-134.9692,72.55,70,72,5.79,pf,1655298309
51,punta arenas,-53.15,-70.9167,42.91,70,40,18.41,cl,1655298257
52,jamestown,42.097,-79.2353,76.59,86,33,7.0,sh,1655298319
53,yar-sale,66.8333,70.8333,68.5,36,58,10.71,ru,1655298321
54,ushuaia,-54.8,-68.3,42.46,70,75,7.81,ar,1655298323
55,mataura,-46.1927,168.8643,44.47,96,75,4.54,pf,1655298325
56,mataura,-46.1927,168.8643,44.47,96,75,4.54,pf,1655298325
57,mataura,-46.1927,168.8643,44.47,96,75,4.54,pf,1655298325
58,punta arenas,-53.15,-70.9167,42.91,70,40,18.41,cl,1655298257
