Processing record 1 | arroyo 
Processing record 2 | severo-kurilsk 
Processing record 3 | busselton 
Processing record 4 | punta arenas 
Processing record 5 | batticaloa 
Processing record 6 | barrow 
Processing record 7 | cape town 
Processing record 8 | kaeo 
Processing record 9 | bluff 
Processing record 10 | arraial do cabo 
Processing record 11 | qaanaaq 
Processing record 12 | puerto ayora 
Processing record 13 | shar 
Processing record 14 | faanui 
Processing record 15 | rafaela 
Processing record 16 | plaster rock 
Processing record 17 | ponta do sol 
Processing record 18 | geraldton 
Processing record 19 | bredasdorp 
Processing record 20 | sainte-rose 
Processing record 21 | palabuhanratu 
 Not found: palabuhanratu Skipping 
Processing record 22 | presidente medici 
Processing record 23 | mungaa 
Processing record 24 | pascagoula 
Processing record 25 | barrow 
Processing record 26 | sibolga 
Processing record 27 | tuktoyaktuk 
Processing record 28 | flin flon 
Processing record 29 | bredasdorp 
Processing record 30 | kangaatsiaq 
Processing record 31 | kodiak 
Processing record 32 | cape town 
Processing record 33 | mundwa 
Processing record 34 | bengkulu 
Processing record 35 | kapaa 
Processing record 36 | lalibela 
Processing record 37 | charters towers 
Processing record 38 | santa isabel 
Processing record 39 | ongandjera 
Processing record 40 | gunjur 
Processing record 41 | kentau 
Processing record 42 | punta arenas 
Processing record 43 | avarua 
Processing record 44 | sao felix do xingu 
Processing record 45 | tuktoyaktuk 
Processing record 46 | port alfred 
Processing record 47 | amderma 
 Not found: amderma Skipping 
Processing record 48 | byron bay 
Processing record 49 | rikitea 
Processing record 50 | bethel 
Processing record 51 | cherskiy 
Processing record 52 | new norfolk 
Processing record 53 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 54 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 55 | rikitea 
Processing record 56 | punta arenas 
Processing record 57 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 58 | jamestown 
Processing record 59 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 60 | yar-sale 
Processing record 61 | karkaralinsk 
 Not found: karkaralinsk Skipping 
Processing record 62 | ushuaia 
Processing record 63 | mataura 
Processing record 64 | mataura 
Processing record 65 | mataura 
Processing record 66 | punta arenas 
Processing record 67 | khatanga 
Processing record 68 | albany 
Processing record 69 | urdzhar 
 Not found: urdzhar Skipping 
Processing record 70 | quatre cocos 
Processing record 71 | kapaa 
Processing record 72 | arraial do cabo 
Processing record 73 | evensk 
Processing record 74 | hobart 
Processing record 75 | jamestown 
Processing record 76 | hithadhoo 
Processing record 77 | qostanay 
Processing record 78 | qaanaaq 
Processing record 79 | port hardy 
Processing record 80 | thompson 
Processing record 81 | tilichiki 
Processing record 82 | lander 
Processing record 83 | ponta do sol 
Processing record 84 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 85 | ushuaia 
Processing record 86 | khatanga 
Processing record 87 | saskylakh 
Processing record 88 | marsh harbour 
Processing record 89 | odienne 
Processing record 90 | ilulissat 
Processing record 91 | carnarvon 
Processing record 92 | guymon 
Processing record 93 | priargunsk 
Processing record 94 | east london 
Processing record 95 | ushuaia 
Processing record 96 | rikitea 
Processing record 97 | bluff 
Processing record 98 | nalut 
Processing record 99 | spasskoye 
Processing record 100 | rikitea 
